White noise,Positive bias,Negative bias
58.000000,55.000000,59.000000
58.000000,55.000000,59.000000
57.000000,55.500000,59.000000
57.000000,55.500000,59.500000
57.000000,56.000000,59.000000
57.500000,55.500000,59.500000
57.500000,56.500000,59.500000
58.000000,54.500000,58.500000
57.500000,56.000000,58.500000
58.000000,54.500000,58.500000
58.000000,55.500000,60.000000
58.000000,55.000000,59.000000
58.500000,56.000000,58.500000
58.000000,54.500000,58.500000
58.000000,55.500000,58.500000
57.000000,56.000000,59.000000
58.500000,56.000000,58.500000
58.000000,55.000000,58.500000
57.500000,56.500000,59.500000
58.000000,56.000000,59.000000
57.500000,54.500000,58.500000
57.500000,56.000000,58.500000
57.000000,55.500000,57.500000
57.500000,55.000000,59.000000
57.000000,55.500000,58.500000
57.500000,54.500000,59.500000
56.500000,56.500000,59.000000
57.000000,56.000000,59.500000
57.500000,55.500000,58.500000
57.500000,56.500000,59.000000
57.000000,56.500000,58.500000
57.000000,54.500000,59.000000
58.000000,54.500000,58.000000
57.500000,56.000000,60.000000
58.000000,55.000000,59.500000
57.500000,56.000000,59.000000
57.500000,55.500000,59.500000
58.500000,55.000000,59.000000
56.500000,55.000000,58.000000
56.500000,56.000000,59.000000
57.500000,55.500000,59.000000
57.000000,56.000000,58.000000
58.000000,55.000000,59.500000
57.500000,55.000000,58.500000
56.500000,55.500000,60.000000
58.000000,55.000000,59.500000
57.500000,56.500000,59.000000
58.000000,55.500000,59.000000
56.500000,56.000000,59.500000
57.500000,56.000000,59.500000
57.000000,56.000000,58.500000
57.500000,54.500000,59.000000
58.000000,56.000000,59.500000
58.000000,54.500000,58.500000
57.000000,55.500000,59.000000
56.000000,55.500000,59.000000
57.500000,56.000000,59.000000
57.500000,56.500000,60.500000
58.000000,55.500000,59.000000
56.500000,55.000000,59.500000
56.500000,56.000000,58.500000
57.000000,55.000000,59.000000
56.500000,55.000000,59.000000
57.000000,55.500000,59.000000
56.000000,56.000000,59.500000
58.000000,55.000000,59.000000
58.000000,56.000000,59.000000
56.500000,56.000000,59.000000
57.500000,55.500000,59.000000
